"STATION","NAME","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00094746","WORCESTER REGIONAL AIRPORT, MA US","2015-01-01","14.99",",,W",,,"0.00",",,W,2400","0.0",",,W,",,,"20","H,,S","30",",,W","13",",,W","  240",",,W","  240",",,W","23.0",",,W","30.0",",,W",,,,,,,,,,,,,,,,
"USW00094746","WORCESTER REGIONAL AIRPORT, MA US","2015-01-02","14.54",",,W",,,"0.00",",,W,2400","0.0",",,W,",,,"30","H,,S","34",",,W","26",",,W","  280",",,W","  280",",,W","29.1",",,W","38.9",",,W",,,,,,,,,,,,,,,,
"USW00094746","WORCESTER REGIONAL AIRPORT, MA US","2015-01-03","6.71",",,W",,,"0.58",",,W,2400","2.2",",,W,",,,"24","H,,S","30",",,W","20",",,W","  300",",,W","  140",",,W","18.1",",,W","23.9",",,W","    1",",,W","    1",",,W",,,,,,,"    1",",,W",,,,
"USW00094746","WORCESTER REGIONAL AIRPORT, MA US","2015-01-04","11.86",",,W",,,"0.42",",,W,2400","0.0","T,,W,",,,"34","H,,S","47",",,W","30",",,W","  240",",,W","  280",",,W","23.0",",,W","30.0",",,W","    1",",,W","    1",",,W",,,,,,,"    1",",,W",,,,
"USW00094746","WORCESTER REGIONAL AIRPORT, MA US","2015-01-05","22.59",",,W",,,"0.00","T,,W,2400","0.0",",,W,",,,"32","H,,S","40",",,W","10",",,W","  290",",,W","  280",",,W","36.9",",,W","49.0",",,W",,,,,,,,,,,,,,,,
"USW00094746","WORCESTER REGIONAL AIRPORT, MA US","2015-01-06","5.82",",,W",,,"0.03",",,W,2400","0.6",",,W,",,,"11","H,,S","13",",,W","7",",,W","  270",",,W","  250",",,W","15.0",",,W","19.0",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094746","WORCESTER REGIONAL AIRPORT, MA US","2015-01-07","14.09",",,W",,,"0.00","T,,W,2400","0.0","T,,W,",,,"14","H,,S","19",",,W","7",",,W","  290",",,W","  280",",,W","30.0",",,W","47.0",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00094746","WORCESTER REGIONAL AIRPORT, MA US","2015-01-08","14.76",",,W",,,"0.00",",,W,2400","0.0",",,W,",,,"6","H,,S","17",",,W","-6",",,W","  300",",,W","  290",",,W","23.9",",,W","35.1",",,W",,,,,,,,,,,,,,,,
"USW00094746","WORCESTER REGIONAL AIRPORT, MA US","2015-01-09","16.11",",,W",,,"0.09",",,W,2400","2.1",",,W,",,,"22","H,,S","28",",,W","16",",,W","  240",",,W","  240",",,W","30.0",",,W","38.9",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00094746","WORCESTER REGIONAL AIRPORT, MA US","2015-01-10","10.51",",,W",,,"0.00",",,W,2400","0.0",",,W,",,,"14","H,,S","18",",,W","8",",,W","  260",",,W","  260",",,W","19.9",",,W","25.9",",,W",,,,,,,,,,,,,,,,
"USW00094746","WORCESTER REGIONAL AIRPORT, MA US","2015-01-11","10.07",",,W",,,"0.00",",,W,2400","0.0",",,W,",,,"14","H,,S","27",",,W","6",",,W","  240",",,W","  220",",,W","16.1",",,W","19.9",",,W",,,,,,,,,,,,,,,,
"USW00094746","WORCESTER REGIONAL AIRPORT, MA US","2015-01-12","11.41",",,W",,,"0.26",",,W,2400","0.3",",,W,",,,"29","H,,S","34",",,W","27",",,W","  240",",,W","  250",",,W","21.9",",,W","27.1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,,,
"USW00094746","WORCESTER REGIONAL AIRPORT, MA US","2015-01-13","8.50",",,W",,,"0.00",",,W,2400","0.0",",,W,",,,"21","H,,S","31",",,W","8",",,W","  330",",,W","  320",",,W","21.0",",,W","28.0",",,W",,,,,,,,,,,,,,,,
"USW00094746","WORCESTER REGIONAL AIRPORT, MA US","2015-01-14","4.47",",,W",,,"0.00","T,,W,2400","0.0","T,,W,",,,"15","H,,S","23",",,W","10",",,W","  320",",,W","  330",",,W","8.9",",,W","12.1",",,W",,,,,,,,,,,,,,,,
"USW00094746","WORCESTER REGIONAL AIRPORT, MA US","2015-01-15","7.83",",,W",,,"0.00","T,,W,2400","0.0","T,,W,",,,"23","H,,S","27",",,W","18",",,W","  270",",,W","  270",",,W","21.0",",,W","27.1",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00094746","WORCESTER REGIONAL AIRPORT, MA US","2015-01-16","17.90",",,W",,,"0.00","T,,W,2400","0.0","T,,W,",,,"23","H,,S","32",",,W","9",",,W","  290",",,W","  280",",,W","36.0",",,W","47.0",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00094746","WORCESTER REGIONAL AIRPORT, MA US","2015-01-17","9.17",",,W",,,"0.00",",,W,2400","0.0",",,W,",,,"12","H,,S","21",",,W","2",",,W","  300",",,W","  300",",,W","23.0",",,W","28.0",",,W",,,,,,,,,,,,,,,,
"USW00094746","WORCESTER REGIONAL AIRPORT, MA US","2015-01-18","11.41",",,W",,,"1.30",",,W,2400","0.0",",,W,",,,"31","H,,S","47",",,W","19",",,W","  140",",,W","  160",",,W","28.0",",,W","38.0",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,
"USW00094746","WORCESTER REGIONAL AIRPORT, MA US","2015-01-19","15.66",",,W",,,"0.00",",,W,2400","0.0",",,W,",,,"36","H,,S","36",",,W","26",",,W","  280",",,W","  270",",,W","29.1",",,W","35.1",",,W",,,,,,,,,,,,,,,,
"USW00094746","WORCESTER REGIONAL AIRPORT, MA US","2015-01-20","12.97",",,W",,,"0.00",",,W,2400","0.0",",,W,",,,"27","H,,S","32",",,W","20",",,W","  250",",,W","  250",",,W","21.9",",,W","32.0",",,W",,,,,,,,,,,,,,,,
"USW00094746","WORCESTER REGIONAL AIRPORT, MA US","2015-01-21","6.04",",,W",,,"0.00",",,W,2400","0.0",",,W,",,,"23","H,,S","32",",,W","15",",,W","  310",",,W","  290",",,W","18.1",",,W","23.9",",,W",,,,,,,,,,,,,,,,
"USW00094746","WORCESTER REGIONAL AIRPORT, MA US","2015-01-22","7.83",",,W",,,"0.00",",,W,2400","0.0",",,W,",,,"27","H,,S","33",",,W","23",",,W","  280",",,W","  300",",,W","19.9",",,W","25.1",",,W",,,,,,,,,,,,,,,,
"USW00094746","WORCESTER REGIONAL AIRPORT, MA US","2015-01-23","10.51",",,W",,,"0.00",",,W,2400","0.0",",,W,",,,"24","H,,S","32",",,W","14",",,W","  280",",,W","  280",",,W","21.0",",,W","27.1",",,W",,,,,,,,,,,,,,,,
"USW00094746","WORCESTER REGIONAL AIRPORT, MA US","2015-01-24","11.41",",,W",,,"0.61",",,W,2400","6.2",",,W,",,,"29","H,,S","31",",,W","28",",,W","  290",",,W","  290",",,W","25.9",",,W","34.0",",,W","    1",",,W","    1",",,W",,,,,,,"    1",",,W",,,,
"USW00094746","WORCESTER REGIONAL AIRPORT, MA US","2015-01-25","13.65",",,W",,,"0.00","T,,W,2400","0.0","T,,W,",,,"29","H,,S","31",",,W","15",",,W","  290",",,W","  280",",,W","25.1",",,W","33.1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094746","WORCESTER REGIONAL AIRPORT, MA US","2015-01-26","11.86",",,W",,,"0.13",",,W,2400","2.6",",,W,",,,"14","H,,S","18",",,W","7",",,W","   40",",,W","   40",",,W","25.9",",,W","40.0",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094746","WORCESTER REGIONAL AIRPORT, MA US","2015-01-27","20.36",",,W",,,"1.55",",,W,2400","31.9",",,W,",,,"14","H,,S","18",",,W","9",",,W","   10",",,W","  360",",,W","31.1",",,W","55.0",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,
"USW00094746","WORCESTER REGIONAL AIRPORT, MA US","2015-01-28","15.66",",,W",,,"0.00",",,W,2400","0.0","T,,W,",,,"13","H,,S","22",",,W","7",",,W","  310",",,W","  310",",,W","25.1",",,W","35.1",",,W",,,,,,,,,,,,,,,"    1",",,W"
"USW00094746","WORCESTER REGIONAL AIRPORT, MA US","2015-01-29","6.26",",,W",,,"0.00","T,,W,2400","0.0","T,,W,",,,"20","H,,S","30",",,W","8",",,W","  310",",,W","  310",",,W","13.0",",,W","16.1",",,W",,,,,,,,,,,,,,,,
"USW00094746","WORCESTER REGIONAL AIRPORT, MA US","2015-01-30","12.97",",,W",,,"0.06",",,W,2400","0.6",",,W,",,,"27","H,,S","30",",,W","11",",,W","  310",",,W","  320",",,W","36.9",",,W","48.1",",,W","    1",",,W",,,,,,,,,,,,,"    1",",,W"
"USW00094746","WORCESTER REGIONAL AIRPORT, MA US","2015-01-31","24.61",",,W",,,"0.00","T,,W,2400","0.0","T,,W,",,,"14","H,,S","16",",,W","5",",,W","  310",",,W","  300",",,W","33.1",",,W","53.0",",,W",,,,,,,,,,,,,,,"    1",",,W"
"USW00094746","WORCESTER REGIONAL AIRPORT, MA US","2015-02-01","8.50",",,W",,,"0.00",",,W,2400","0.0",",,W,",,,"24","H,,S","28",",,W","5",",,W","  270",",,W","  290",",,W","16.1",",,W","21.0",",,W",,,,,,,,,,,,,,,,
"USW00094746","WORCESTER REGIONAL AIRPORT, MA US","2015-02-02","13.65",",,W",,,"0.95",",,W,2400","17.4",",,W,",,,,,"16",",,W","7",",,W","   50",",,W","   50",",,W","25.1",",,W","40.0",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,
"USW00094746","WORCESTER REGIONAL AIRPORT, MA US","2015-02-03","13.42",",,W",,,"0.00",",,W,2400","0.0",",,W,",,,"11","H,,S","18",",,W","0",",,W","  300",",,W","  300",",,W","29.1",",,W","46.1",",,W",,,,,,,,,,,,,,,"    1",",,W"
"USW00094746","WORCESTER REGIONAL AIRPORT, MA US","2015-02-04","11.41",",,W",,,"0.05",",,W,2400","0.5",",,W,",,,"29","H,,S","34",",,W","9",",,W","  220",",,W","  220",",,W","18.1",",,W","23.9",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094746","WORCESTER REGIONAL AIRPORT, MA US","2015-02-05","14.09",",,W",,,"0.18",",,W,2400","4.6",",,W,",,,"26","H,,S","34",",,W","4",",,W","  320",",,W","  320",",,W","23.0",",,W","36.0",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094746","WORCESTER REGIONAL AIRPORT, MA US","2015-02-06","11.41",",,W",,,"0.00",",,W,2400","0.0",",,W,",,,"7","H,,S","16",",,W","0",",,W","  280",",,W","  320",",,W","21.0",",,W","25.1",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00094746","WORCESTER REGIONAL AIRPORT, MA US","2015-02-07","9.62",",,W",,,"0.06",",,W,2400","0.7",",,W,",,,"18","H,,S","24",",,W","13",",,W","  270",",,W","  260",",,W","17.0",",,W","23.0",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00094746","WORCESTER REGIONAL AIRPORT, MA US","2015-02-08","10.51",",,W",,,"0.38",",,W,2400","5.4",",,W,",,,"20","H,,S","25",",,W","10",",,W","   40",",,W","   40",",,W","19.9",",,W","27.1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094746","WORCESTER REGIONAL AIRPORT, MA US","2015-02-09","15.88",",,W",,,"0.56",",,W,2400","8.3",",,W,",,,"11","H,,S","14",",,W","10",",,W","   40",",,W","   30",",,W","21.0",",,W","30.0",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,
"USW00094746","WORCESTER REGIONAL AIRPORT, MA US","2015-02-10","10.74",",,W",,,"0.00","T,,W,2400","0.0","T,,W,",,,"20","H,,S","30",",,W","13",",,W","   30",",,W","   40",",,W","19.9",",,W","27.1",",,W",,,,,,,,,,,,,,,,
